Mission,Spacecraft,Launch Date,Carrier rocket,Operator,Mission type,Outcome
,Impacted on 30 July 1964 at 13:25:48 UTC.[27],,,,,
Ranger 8,Ranger 8,17-Feb-65,Atlas LV-3 Agena-B,NASA,Impactor,Successful
,Impacted on 20 February 1965 at 09:57:37 UTC.[28][29],,,,,
"Kosmos 60

(E-6 No.9)",Kosmos 60,12-Mar-65,Molniya-L,Lavochkin,Lander,Launch failure
,"Upper stage failed to restart due to guidance system short circuit,[28] 
Failed to depart low Earth orbit.[30]",,,,,
Ranger 9,Ranger 9,21-Mar-65,Atlas LV-3 Agena-B,NASA,Impactor,Successful
,Impacted on 24 March 1965 at 14:08:20 UTC.[28][31],,,,,
Luna E-6 No.8,Luna E-6 No.8,10-Apr-65,Molniya-L,Lavochkin,Lander,Spacecraft failure
,"Third stage failed to ignite due to loss of oxidiser pressure, failed to 
orbit.[28]",,,,,
"Luna 5

(E-6 No.10)",Luna 5,09-May-65,Molniya-M,Lavochkin,Lander,Spacecraft failure
,"Loss of control after gyroscope malfunction,[28] failed to decelerate for 
landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]",,,,,
"Luna 6

(E-6 No.7)",Luna 6,08-Jun-65,Molniya-M,Lavochkin,Lander,Spacecraft failure
,"Engine failed to shut down after performing mid-course correction manoeuvre,
[28] flew past the Moon in a heliocentric orbit.[33]",,,,,
"Zond 3

(3MV-4 No.3)",Zond 3,18-Jul-65,Molniya,Lavochkin,Flyby,Successful
,"Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres 
(5,700 mi).[34] Conducted technology demonstration for future planetary 
missions.[28]",,,,,
"Luna 7

(E-6 No.11)",Luna 7,04-Oct-65,Molniya,Lavochkin,Lander,Spacecraft failure
,"Attitude control failure shortly before landing prevented controlled 
descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35]",,,,,
"Luna 8

(E-6 No.12)",Luna 8,03-Dec-65,Molniya,Lavochkin,Lander,Spacecraft failure
,"Landing airbag punctured, resulting in loss of attitude control shortly 
before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 
UTC.[36]",,,,,
"Luna 9

(E-6 No.13)",Luna 9,31-Jan-66,Molniya-M,Lavochkin,Lander,Successful
,"*First spacecraft to land successfully on the Moon*. Touchdown on 3 
February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 
UTC.[38]",,,,,
"Kosmos 111

(E-6S No.204)",Kosmos 111,01-Mar-66,Molniya-M,Lavochkin,Orbiter,Launch failure
,"Upper stage lost attitude control and failed to ignite;[38] spacecraft 
never left low Earth orbit.[39]",,,,,
"Luna 10

(E-6S No.206)",Luna 10,31-Mar-66,Molniya-M,Lavochkin,Orbiter,Successful
,"Entered orbit at 18:44 UTC on 3 April 1966, becoming the *first spacecraft 
to orbit the Moon*.[40] Continued to return data until 30 May.[38]",,,,,
Surveyor 1,Surveyor 1,30-May-66,Atlas LV-3C Centaur-D,NASA,Lander,Successful
,"Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned 
data until loss of power on 13 July.[41]",,,,,
"Explorer 33

(AIMP-D)",Explorer 33,01-Jul-66,Delta E1,NASA,Orbiter,Launch failure
,"Magnetospheric probe; rocket imparted greater velocity than had been 
planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth 
orbit mission which was completed successfully.[42]",,,,,
Lunar Orbiter 1,Lunar Orbiter 1,10-Aug-66,Atlas SLV-3 Agena-D,NASA,Orbiter,Partial failure
,"Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to 
lack of fuel and to avoid communications interference with the next 
mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]",,,,,
"Luna 11

(E-6LF No.101)",Luna 11,21-Aug-66,Molniya-M,Lavochkin,Orbiter,Partial failure
,"Entered orbit on 28 August 1966. Failed to return images; other instruments 
operated correctly.[38] Conducted gamma ray and X-ray observations to study 
the composition of the Moon, investigated the lunar gravitational field, 
the presence of meteorites in the lunar environment and the radiation 
environment at the Moon. 

Ceased operation on 1 October 1966 after power was depleted.[44]",,,,,
Surveyor 2,Surveyor 2,20-Sep-66,Atlas LV-3C Centaur-D,NASA,Lander,Spacecraft failure
,"One thruster failed to ignite during mid-course correction manoeuvre, 
resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 
September 1966.[45]",,,,,
"Luna 12

(E-6LF No.102)",Luna 12,22-Oct-66,Molniya-M,Lavochkin,Orbiter,Successful
,"Entered orbit on 25 October 1966 and returned data until 19 January 1967.
[46] Completed photography mission intended for Luna 11.[38]",,,,,
Lunar Orbiter 2,Lunar Orbiter 2,06-Nov-66,Atlas SLV-3 Agena-D,NASA,Orbiter,Successful
,"Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic 
mapping mission. Impacted on the far side of the lunar surface following 
deorbit burn on 11 October 1967 at end of mission.[47]",,,,,
"Luna 13

(E-6M No.205)",Luna 13,21-Dec-66,Molniya-M,Lavochkin,Lander,Successful
,"Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.
[38] Returned images from the surface and studied the lunar soil.[48] 
Operated until depletion of power at 06:31 UTC on 28 December.[38]",,,,,
Lunar Orbiter 3,Lunar Orbiter 3,05-Feb-67,Atlas SLV-3 Agena-D,NASA,Orbiter,Successful
,"Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission 
and impacted the Moon on 9 October 1967.[49]",,,,,
Surveyor 3,Surveyor 3,17-Apr-67,Atlas LV-3C Centaur-D,NASA,Lander,Successful
,"Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] 
Visited by Apollo 12 astronauts in 1969, with some parts removed for return 
to Earth.[52]",,,,,
Lunar Orbiter 4,Lunar Orbiter 4,04-May-67,Atlas SLV-3 Agena-D,NASA,Orbiter,Successful
,"Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed 
from orbit, with lunar impact occurring on 6 October 1967.[50][53]",,,,,
Surveyor 4,Surveyor 4,14-Jul-67,Atlas LV-3C Centaur-D,NASA,Lander,Spacecraft failure
,"Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half 
minutes before scheduled landing.[50] NASA determined that the spacecraft 
may have exploded, otherwise it impacted the Moon.[54]",,,,,
"Explorer 35
(AIMP-E)","Explorer 35
(AIMP-E)",19-Jul-67,Delta E1,NASA,Orbiter,Successful
,"Magnetospheric probe, studying the Moon and interplanetary space. 
Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during 
the 1970s.[56]",,,,,
Lunar Orbiter 5,Lunar Orbiter 5,01-Aug-67,Atlas SLV-3 Agena-D,NASA,Orbiter,Successful
,"Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 
August at 16:48 UTC and conducted a photographic survey until 18 August. 
Deorbited and impacted the Moon on 31 January 1968.[57]",,,,,
Surveyor 5,Surveyor 5,08-Sep-67,Atlas SLV-3C Centaur-D,NASA,Lander,Successful
,"Landed in *Mare Tranquillitatis* at 00:46:44 UTC on 11 September. Last 
signals received at 04:30 UTC on 17 December 1967.[58]",,,,,
Soyuz 7K-L1 No.4L,Soyuz 7K-L1 No.4L,27-Sep-67,Proton-K/D,Lavochkin,Flyby,Spacecraft failure
,"Technology demonstration for planned crewed missions. Failed to reach orbit 
after a blocked propellant line caused one of the first-stage engines to 
not ignite.[50]",,,,,
Surveyor 6,Surveyor 6,07-Nov-67,Atlas SLV-3C Centaur-D,NASA,Lander,Successful
,"Landed in *Sinus Medii* at 01:01:04 UTC on 10 November.[50] Made brief 
flight from lunar surface at 10:32 UTC on 17 November, followed by second 
landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC 
on 14 December.[59]",,,,,
Soyuz 7K-L1 No.5L,Soyuz 7K-L1 No.5L,22-Nov-67,Proton-K/D,Lavochkin,Flyby,Launch failure
,"Technology demonstration for planned crewed missions; unable to achieve 
orbit after second-stage engine failed to ignite.[50]",,,,,
Surveyor 7,Surveyor 7,07-Jan-68,Atlas SLV-3C Centaur-D,NASA,Lander,Successful
,"Final Surveyor mission.[60] Landed 29 kilometres (18 mi) from *Tycho* 
crater at 01:05:36 UTC on 10 January. Operated until 21 February 1968.[61]",,,,,
Luna E-6LS No.112,Luna E-6LS No.112,07-Feb-68,Molniya-M,Lavochkin,Orbiter,Launch failure
,Failed to orbit after third stage ran out of fuel.[61],,,,,
"Luna 14

(E-6LS No.113)",Luna 14,07-Apr-68,Molniya-M,Lavochkin,Orbiter,Successful
,"Tested communications for proposed crewed missions and studied the mass 
concentration of the Moon. Entered orbit on 10 April at 19:25 UTC.[62]",,,,,
Soyuz 7K-L1 No.7L,Soyuz 7K-L1 No.7L,22-Apr-68,Proton-K/D,Lavochkin,Flyby,Launch failure
,"Technology demonstration for planned crewed missions. Failed to orbit after 
second-stage engine incorrectly commanded to shut down. Spacecraft was 
recovered using its prototype launch escape system.[61]",,,,,
"Zond 5

(7K-L1 No.9L)",Zond 5,14-Sep-68,Proton-K/D,Lavochkin,Flyby,Successful
,"Two tortoises and other life forms on board a technology demonstration for 
planned crewed missions. Made a closest approach of 1,950 kilometres 
(1,210 mi) on 18 September, and circled the Moon before returning to Earth. 
Landed in the Indian Ocean on 21 September at 16:08 UTC, becoming the *first 
Lunar spacecraft to be recovered successfully* and carried the *first Earth 
life to travel to and around the Moon*.[63]",,,,,
"Zond 6

(7K-L1 No.12L)",Zond 6,10-Nov-68,Proton-K/D,Lavochkin,Flyby,Spacecraft failure
,"Technology demonstration for planned crewed missions. Carrying turtles in 
the second mission of earthlings[*clarification needed*] to close proximity 
of the Moon, the flyby was on 14 November, with a closest approach of 2,420 
kilometres (1,500 mi).[64]

Reentered Earth's atmosphere on 17 November; however, recovery was 
unsuccessful after parachutes were prematurely jettisoned.[61]",,,,,
Apollo 8,Apollo 8,21-Dec-68,Saturn V,NASA,Crewed orbiter,Successful
,"*First crewed mission to the Moon*; entered orbit around the Moon with 
four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten 
orbits of the Moon before returning to Earth with an engine burn at 
06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 
December.[65]",,,,,
Soyuz 7K-L1 No.13L,Soyuz 7K-L1 No.13L,20-Jan-69,Proton-K/D,Lavochkin,Flyby,Launch failure
,"Technology demonstration for planned crewed missions. Failed to orbit after 
one of the four second-stage engines shut down prematurely. Third-stage 
engine also shut down prematurely. The spacecraft was recovered using its 
launch escape system.[66]",,,,,
Luna E-8 No.201,Luna E-8 No.201,19-Feb-69,Proton-K/D,Lavochkin,Lander,Launch failure
,Lunokhod,,,,Rover,Launch failure
,"First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds 
after launch and exploded.[67]",,,,,
Soyuz 7K-L1S No.3,Soyuz 7K-L1S No.3,21-Feb-69,N1,OKB-1,Orbiter,Launch failure
,"First launch of N1 rocket; intended to orbit the Moon and return to Earth. 
First stage prematurely shut down 70 seconds after launch; launch vehicle 
crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 
kilometres (22 mi) from the launch pad after successfully using its launch 
escape system.[67]",,,,,
Apollo 10,Apollo 10,18-May-69,Saturn V,NASA,Orbiter,Successful
,Apollo 10 Lunar Module,,,,Orbiter,Successful
,"Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board 
descended to a distance of 14.326 kilometres (8.902 mi) above the lunar 
surface.[68]",,,,,
Luna E-8-5 No.402,Luna E-8-5 No.402,14-Jun-69,Proton-K/D,Lavochkin,Lander,Launch failure
,Luna E-8-5 No.402 Return Craft,,,,Sample Return,Launch failure
,"Intended to land on the Moon and return lunar soil sample. Did not reach 
Earth orbit after fourth stage failed to ignite.[66]",,,,,
Soyuz 7K-L1S No.5,Soyuz 7K-L1S No.5,03-Jul-69,N1,OKB-1,Orbiter,Launch failure
,"Intended to orbit the Moon and return to Earth. All first-stage engines 
shut down 10 seconds after launch; launch vehicle crashed and exploded on 
the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the 
launch site after using launch escape sequence.[67]",,,,,
"Luna 15

(E-8-5 No.401)",Luna 15,13-Jul-69,Proton-K/D,Lavochkin,Lander,Spacecraft failure
,Luna 15 Return Craft,,,,Sample Return,Launch failure
,"Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn 
started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit 
burn; probably crashed on the Moon.[67]",,,,,
Apollo 11,Apollo 11,16-Jul-69,Saturn V,NASA,Orbiter,Successful
,Apollo 11 Lunar Module,,,,Lander/Launch Vehicle,Successful
,"*First crewed landing on the Moon.* The Lunar Module *Eagle* landed at 
20:17 UTC on 20 July 1969.",,,,,
"Zond 7

(7K-L1 No.11L)",Zond 7,07-Aug-69,Proton-K/D,Lavochkin,Flyby,Successful
,"Technology demonstration for planned crewed missions. Carried four turtles 
in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres 
(750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 
August.[67]",,,,,
"Kosmos 300

(E-8-5 No.403)",Kosmos 300,23-Sep-69,Proton-K/D,Lavochkin,Lander,Launch failure
,Kosmos 300 Return Craft,,,,Sample return,Launch failure
,"Third attempt at lunar sample return. After reaching low Earth orbit, the 
fourth-stage engine failed to fire for trans-lunar injection due to 
oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after 
launch.[67]",,,,,
"Kosmos 305

(E-8-5 No.404)",Kosmos 305,22-Oct-69,Proton-K/D,Lavochkin,Lander,Launch failure
,Kosmos 305 Return Craft,,,,Sample Return,Launch failure
,"Fourth attempt at lunar sample return. After reaching low Earth orbit, the 
fourth-stage engine failed to fire for trans-lunar injection due to control 
system malfunction. Spacecraft re-entered Earth's atmosphere within one 
orbit after launch.[67]",,,,,
Apollo 12,Apollo 12,14-Nov-69,Saturn V,NASA,Orbiter,Successful
,Apollo 12 Lunar Module,,,,Lander/Launch Vehicle,Successful
,Second crewed lunar landing.,,,,,
Luna E-8-5 No.405,Luna E-8-5 No.405,06-Feb-70,Proton-K/D,Lavochkin,Lander,Launch failure
,Luna E-8-5 No.405 Return Craft,,,,Sample return,Launch failure
,Failed to orbit,,,,,
Apollo 13,Apollo 13,11-Apr-70,Saturn V,NASA,Orbiter,Spacecraft failure
,Apollo 13 Lunar Module,,,,Lander/Launch Vehicle,Successful
,"Lunar landing aborted following Service Module oxygen tank explosion en 
route to the Moon; flew past the Moon (free-return trajectory) and returned 
the crew safely to Earth.",,,,,
"Luna 16

(E-8-5 No.406)",Luna 16,12-Sep-70,Proton-K/D,Lavochkin,Lander,Successful
,Luna 16 Return Craft,,,,Sample return,Successful
,*First robotic sampling mission.*,,,,,
"Zond 8

(7K-L1 No.14L)",Zond 8,20-Oct-70,Proton-K/D,Lavochkin,Flyby,Successful
,"Technology demonstration for planned crewed missions; returned to Earth 
successfully.",,,,,
"Luna 17

(E-8 No.203)",Luna 17,10-Nov-70,Proton-K/D,Lavochkin,Lander,Successful
,Lunokhod 1,,,,Rover,Successful
,Luna 17 deployed Lunokhod 1.,,,,,
Apollo 14,Apollo 14,31-Jan-71,Saturn V,NASA,Orbiter,Successful
,Apollo 14 Lunar Module,,,,Lander/Launch Vehicle,Successful
,Third crewed lunar landing.,,,,,
Apollo 15,Apollo 15,26-Jul-71,Saturn V,NASA,Orbiter,Successful
,Apollo 15 Lunar Module,,,,Lander/Launch Vehicle,Successful
,Lunar Roving Vehicle,,,,Rover,Successful
,"Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle.",,,,,
PFS-1,PFS-1,26-Jul-71,Saturn V,NASA,Orbiter,Successful
,PFS-1 was deployed from Apollo 15.,,,,,
"Luna 18

(E-8-5 No.407)",Luna 18,02-Sep-71,Proton-K/D,Lavochkin,Lander,Spacecraft failure
,Luna 18 Return Craft,,,,Sample return,Spacecraft failure
,Failed during descent to lunar surface.,,,,,
"Luna 19

(E-8LS No.202)",Luna 19,28-Sep-71,Proton-K/D,Lavochkin,Orbiter,Successful
,"Entered an orbit around the Moon on 2 October 1971 after two midcourse 
corrections on 29 September and 1 October.",,,,,
"Luna 20

(E-8-5 No.408)",Luna 20,14-Feb-72,Proton-K/D,Lavochkin,Lander,Successful
,Luna 20 Return Craft,,,,Sample return,Successful
,"*Luna 20* soft landed on the Moon in a mountainous area known as the Terra 
Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of 
Fertility), 120 km from where *Luna 16* had landed.",,,,,
Apollo 16,Apollo 16,16-Apr-72,Saturn V,NASA,Orbiter,Successful
,Apollo 16 Lunar Module,,,,Lander/Launch Vehicle,Successful
,Lunar Roving Vehicle,,,,Rover,Successful
,5th crewed lunar landing.,,,,,
PFS-2,PFS-2,16-Apr-72,Saturn V,NASA,Orbiter,Successful
,PFS-2 deployed from Apollo 16.,,,,,
Soyuz 7K-LOK No.1,Soyuz 7K-LOK No.1,03-Jul-72,N1,OKB-1,Orbiter,Launch failure
,Failed to orbit; intended to orbit the Moon and return to Earth.,,,,,
Apollo 17,Apollo 17,07-Dec-72,Saturn V,NASA,Orbiter,Successful
,Apollo 17 Lunar Module,,,,Lander/Launch Vehicle,Successful
,Lunar Roving Vehicle,,,,Rover,Successful
,"Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; 
the orbiting command module included five mice.",,,,,
"Luna 21

(E-8 No.204)",Luna 21,08-Jan-73,Proton-K/D,Lavochkin,Lander,Successful
,Lunokhod 2,,,,Rover,Successful
,Deployed Lunokhod 2.,,,,,
"Explorer 49

(RAE-B)",Explorer 49,10-Jun-73,Delta 1913,NASA,Orbiter,Successful
,"Radio astronomy spacecraft, operated in selenocentric orbit to avoid 
interference from terrestrial radio sources.",,,,,
Mariner 10,Mariner 10,03-Nov-73,Atlas SLV-3D Centaur-D1A,NASA,Flyby,Successful
,"Interplanetary spacecraft, mapped lunar north pole to test cameras.",,,,,
"Luna 22

(E-8LS No.206)",Luna 22,29-May-74,Proton-K/D,Lavochkin,Orbiter,Successful
,Inserted into a circular lunar orbit on 2 June 1974,,,,,
"Luna 23

(E-8-5M No.410)",Luna 23,16-Oct-75,Proton-K/D,Lavochkin,Lander,Partial failure
,Luna 23 Return Craft,,,,Sample Return,Precluded
,"Tipped over upon landing, precluding any sample return attempt. Functioned 
for three days on surface.",,,,,
Luna E-8-5M No.412,Luna E-8-5M No.412,16-Oct-75,Proton-K/D,Lavochkin,Lander,Launch failure
,Luna E-8-5M No.412 Return Craft,,,,Sample Return,Launch failure
,Failed to orbit.,,,,,
"Luna 24

(E-8-5M No.413)",Luna 24,09-Aug-76,Proton-K/D,Lavochkin,Lander,Successful
,Luna 24 Return Craft,,,,Sample Return,Successful
,"Final mission of the Luna programme. Entered orbit on 11 August 1976 and 
landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched 
at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 
170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from 
the Soviet Union.",,,,,
"ISEE-3

(ICE/Explorer 59)",ISEE-3,12-Aug-78,Delta 2914,NASA,Flyby,Successful
,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.,,,,,
"Hiten

(MUSES-A)",Hiten,24-Jan-90,Mu-3S-II,ISAS,Orbiter,Successful
,Hagoromo,24-Jan-90,Mu-3S-II,ISAS,Orbiter,Spacecraft failure
,"Designed for flyby, placed into selenocentric orbit during extended mission 
after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 
on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made 
Japan the 3rd country to reach the surface of the Moon.",,,,,
Geotail,Geotail,24-Jul-92,Delta II 6925,ISAS/NASA,Flyby,Successful
,Series of flybys to regulate high Earth orbit.,,,,,
WIND,WIND,01-Nov-94,Delta II 7925-10,NASA,Flyby,Successful
,"Made two flybys on 1 December 1994 and 27 December 1994 to reach the 
Earth–Sun L1 Lagrangian point.",,,,,
"*Clementine*

(DSPSE)",*Clementine*,25-Jan-94,Titan II (23)G Star-37FM,USAF/NASA,Orbiter,Successful
,"Completed Lunar objectives successfully; failed following departure from selenocentric 
orbit.",,,,,
HGS-1,HGS-1,24-Dec-97,Proton-K/DM3,Hughes,Flyby,Successful
,"Communications satellite; made two flybys in May and June 1998 en route to geosynchronous 
orbit after delivery into wrong orbit.",,,,,
"Lunar Prospector

(Discovery 3)",Lunar Prospector,07-Jan-98,Athena II,NASA,Orbiter,Successful
,"The mission ended on July 31, 1999",,,,,
"Nozomi

(PLANET-B)",Nozomi,03-Jul-98,M-V,ISAS,Flyby,Successful
,Two flybys en route to Mars.,,,,,
WMAP,WMAP,30-Jun-01,Delta II 7425-10,NASA,Flyby,Successful
,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.,,,,,
SMART-1,SMART-1,27-Sep-03,Ariane 5G,ESA,Orbiter,Successful
,"Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 
2006. The impact made ESA member states the 4th to reach the surface of the 
Moon.",,,,,
STEREO,STEREO A,25-Oct-06,Delta II 7925-10L,NASA,Flyby,Successful
,STEREO B,,,,,Successful
,Both component spacecraft entered heliocentric orbit on 15 December 2006.,,,,,
ARTEMIS,ARTEMIS P1,17-Feb-07,Delta II 7925,NASA,Orbiter,Operational
,ARTEMIS P2,,,,Orbiter,Operational
,"Two THEMIS spacecraft moved to selenocentric orbit for extended mission; 
entered orbit July 2011.",,,,,
SELENE,Kaguya,14-Sep-07,H-IIA 2022,JAXA,Orbiter,Successful
